NOM,COGNOM 1,COGNOM 2,CLASSE
œ∑´®†¥¨ˆøπ“‘,̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,,2ESOA
‪‪test‪,Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,,1ESOA
␢,`⁄€‹›ﬁﬂ‡°·‚—±,,1ESOA
❤️ 💔 💌 💕 💞 💓 💗 💖 💘 💝 💟 💜 💛 💚 💙,社會科學院語學研究所,,2ESOA
᠎,"<>?:""{}|_+",,1ESOB
"__ﾛ(,_,*)",1/2,,1ESOB
הָיְתָהtestالصفحات التّحول,,,1ESOB
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,田中さんにあげて下さい,,2ESOB
﻿,部落格,,2ESOB
() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },𠜎𠜱𠝹𠱓𠱸𠲖𠳏,1/2,2ESOB
1/0,../../../../../../../../../../../etc/passwd%00,,1ESOA
-$1.00,00˙Ɩ$-,,1ESOB
(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,() { 0; }; touch /tmp/blns.shellshock1.fail;,,1ESOB
🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧,-$1.00,,2ESOB
'','',,2ESOB
⁦test⁧,・(￣∀￣)・:*:,,2ESOB
/dev/null; touch /tmp/blns.fail ; echo,社會科學院語學研究所,,1ESOB
1.00,null,"'""'",2ESOB
｀ｨ(´∀｀∩,<img src=x onerror=alert('hi') />,,2ESOB
NIL,😍,-1/2,1ESOB
-1E02,Ω≈ç√∫˜µ≤≥÷,,2ESOA
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,../../../../../../../../../../../etc/passwd%00,,2ESOB
울란바토르,0/0,,1ESOB
NULL,-1E+02,,2ESOB
"<>?:""{}|_+","__ﾛ(,_,*)",,2ESOB
"""""",00˙Ɩ$-,-1E+02,1ESOB
⁰⁴⁵,🐵 🙈 🙉 🙊,,2ESOB
​,'',',1ESOB
'',<script>alert('hi')</script>,,1ESOB
ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,​,,2ESOA
-1.00,ﾟ･✿ヾ╲(｡◕‿◕｡)╱✿･ﾟ,,2ESOB
部落格,˙ɐnbᴉlɐ ɐuƃɐɯ ǝɹolop ʇǝ ǝɹoqɐl ʇn ʇunpᴉpᴉɔuᴉ ɹodɯǝʇ poɯsnᴉǝ op pǝs 'ʇᴉlǝ ƃuᴉɔsᴉdᴉpɐ ɹnʇǝʇɔǝsuoɔ 'ʇǝɯɐ ʇᴉs ɹolop ɯnsdᴉ ɯǝɹo˥,,2ESOB
œ∑´®†¥¨ˆøπ“‘,åß∂ƒ©˙∆˚¬…æ,,1ESOB
 test ,␣,,2ESOB
¸˛Ç◊ı˜Â¯˘¿,社會科學院語學研究所,,2ESOA
"""""",œ∑´®†¥¨ˆøπ“‘,!@#$%^&*(),2ESOA
Z̮̞̠͙͔ͅḀ̗̞͈̻̗Ḷ͙͎̯̹̞͓G̻O̭̗̮,"<>?:""{}|_+",,2ESOB
NIL,nil,,2ESOA
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,-1E+02,,1ESOB
1;DROP TABLE users,1E02,,2ESOA
"<>?:""{}|_+","ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو.",,2ESOA
̦H̬̤̗̤͝e͜ ̜̥̝̻͍̟́w̕h̖̯͓o̝͙̖͎̱̮ ҉̺̙̞̟͈W̷̼̭a̺̪͍į͈͕̭͙̯̜t̶̼̮s̘͙͖̕ ̠̫̠B̻͍͙͉̳ͅe̵h̵̬͇̫͙i̹͓̳̳̮͎̫̕n͟d̴̪̜̖ ̰͉̩͇͙̲͞ͅT͖̼͓̪͢h͏͓̮̻e̬̝̟ͅ ̤̹̝W͙̞̝͔͇͝ͅa͏͓͔̹̼̣l̴͔̰̤̟͔ḽ̫.͕,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,,1ESOA
"""'""'""''''""",１２３,(ﾉಥ益ಥ）ﾉ﻿ ┻━┻,2ESOB
👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,田中さんにあげて下さい,,2ESOB
🐵 🙈 🙉 🙊,-1.00,,2ESOB
00˙Ɩ$-,"""''''""'""",,1ESOA
"""""",​,,1ESOB
1,(｡◕ ∀ ◕｡),パーティーへ行かないか,2ESOA
‫test‫,(｡◕ ∀ ◕｡),👾 🙇 💁 🙅 🙆 🙋 🙎 🙍 ,1ESOB
<svg><script>0<1>alert('XSS')</script>,パーティーへ行かないか,,2ESOB
-1.00,␢,,2ESOB
0.00,<img src=x onerror=alert('hi') />,-1.00,2ESOA
',⁰⁴⁵,,2ESOB
ÅÍÎÏ˝ÓÔÒÚÆ☃,"__ﾛ(,_,*)",,2ESOA
00˙Ɩ$-,𠜎𠜱𠝹𠱓𠱸𠲖𠳏,,2ESOB
/dev/null; touch /tmp/blns.fail ; echo,パーティーへ行かないか,和製漢語,1ESOB
!@#$%^&*(),1,,1ESOB
⁰⁴⁵₀₁₂,😍,,2ESOB
null,-1,,2ESOA
() { 0; }; touch /tmp/blns.shellshock1.fail;,1;DROP TABLE users,,2ESOB
1;DROP TABLE users,​,,2ESOB
😍, ,₀₁₂,2ESOB
ÅÍÎÏ˝ÓÔÒÚÆ☃,1E+02,,2ESOA
00˙Ɩ$-,NULL,,2ESOB
̗̺͖̹̯͓Ṯ̤͍̥͇͈h̲́e͏͓̼̗̙̼̣͔ ͇̜̱̠͓͍ͅN͕͠e̗̱z̘̝̜̺͙p̤̺̹͍̯͚e̠̻̠͜r̨̤͍̺̖͔̖̖d̠̟̭̬̝͟i̦͖̩͓͔̤a̠̗̬͉̙n͚͜ ̻̞̰͚ͅh̵͉i̳̞v̢͇ḙ͎͟-҉̭̩̼͔m̤̭̫i͕͇̝̦n̗͙ḍ̟ ̯̲͕͞ǫ̟̯̰̲͙̻̝f ̪̰̰̗̖̭̘͘c̦͍̲̞͍̩̙ḥ͚a̮͎̟̙͜ơ̩̹͎s̤.̝̝ ҉Z̡̖̜͖̰̣͉̜a͖̰͙̬͡l̲̫̳͍̩g̡̟̼̱͚̞̬ͅo̗͜.̟,1E02,,2ESOA
😍,1E+02,,2ESOB
(╯°□°）╯︵ ┻━┻)  ,0️⃣ 1️⃣ 2️⃣ 3️⃣ 4️⃣ 5️⃣ 6️⃣ 7️⃣ 8️⃣ 9️⃣ 🔟,,2ESOA
